
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    12.364      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
       1   0.0000       0.0000       0.0000       0.0000     
       2 -0.62819E-004 0.26077E-003 0.28219E-004 0.26971E-003
       3  0.53839E-005 0.49817E-004 0.92662E-005 0.50957E-004
       4 -0.18606E-005 0.11110E-003 0.16427E-004 0.11232E-003
       5 -0.25447E-004 0.18164E-003 0.22455E-004 0.18479E-003
       6 -0.31475E-003 0.29245E-003 0.74032E-004 0.43598E-003
       7 -0.22472E-003 0.28914E-003 0.20000E-004 0.36674E-003
       8 -0.31788E-003 0.29262E-003 0.33025E-004 0.43332E-003
       9   0.0000       0.0000       0.0000       0.0000     
      10 -0.19328E-004 0.60346E-004 0.25810E-004 0.68421E-004
      11 -0.73676E-004 0.13148E-003 0.44836E-004 0.15724E-003
      12 -0.17435E-003 0.20905E-003 0.59950E-004 0.27874E-003
      13   0.0000       0.0000       0.0000       0.0000     
      14   0.0000       0.0000       0.0000       0.0000     
      15 -0.10802E-004 0.54691E-004 0.81951E-005 0.56347E-004
      16 -0.19972E-004 0.57493E-004 0.13027E-004 0.62242E-004
      17 -0.53459E-004 0.12285E-003 0.13353E-004 0.13464E-003
      18 -0.80583E-004 0.12706E-003 0.21564E-004 0.15200E-003
      19 -0.12680E-003 0.20138E-003 0.16890E-004 0.23857E-003
      20 -0.18245E-003 0.20571E-003 0.27602E-004 0.27634E-003
      21  0.33446E-003 0.61974E-003 0.42400E-003 0.82202E-003
      22 -0.21800E-003 0.31378E-003 0.14033E-003 0.40703E-003
      23 -0.50722E-004 0.37501E-003 0.22753E-003 0.44156E-003
      24  0.14859E-003 0.48095E-003 0.32588E-003 0.59966E-003
      25   0.0000       0.0000       0.0000       0.0000     
      26  0.47392E-004 0.10304E-003 0.12935E-003 0.17203E-003
      27  0.17160E-003 0.27666E-003 0.23847E-003 0.40355E-003
      28  0.27312E-003 0.45347E-003 0.33413E-003 0.62600E-003
      29   0.0000       0.0000       0.0000       0.0000     
      30   0.0000       0.0000       0.0000       0.0000     
      31   0.0000       0.0000       0.0000       0.0000     
      32 -0.91217E-005 0.65370E-004 0.45712E-004 0.80287E-004
      33  0.82953E-005 0.74387E-004 0.71651E-004 0.10361E-003
      34  0.28888E-004 0.87502E-004 0.10074E-003 0.13653E-003
      35 -0.33952E-004 0.14473E-003 0.81707E-004 0.16964E-003
