NREL5MW-B1-4
TSR: 7.55
Pitch: 0.0
V_inf: 10.0
Radius	Axial Force	Tangential Force	Moment
2.174	63.491	-21.673	0.0
4.207	302.738	-160.254	0.0
6.918	336.824	-277.386	0.0
9.967	2126.86	571.431	-532.276
13.695	5607.619	2113.151	-2000.922
17.76	7199.931	2347.493	-3180.768
21.825	8501.609	2316.518	-4379.531
25.89	10326.419	2363.275	-6068.002
29.954	12289.406	2414.875	-7434.696
34.019	14417.263	2454.53	-8126.426
38.084	16790.392	2505.768	-8649.89
42.149	18184.298	2476.144	-8300.332
46.214	19286.627	2423.071	-7694.074
50.279	20812.363	2382.183	-7586.271
54.007	18376.169	1923.357	-6101.775
57.056	14932.581	1438.658	-4504.822
59.762	12874.299	1173.626	-3170.34
61.795	4181.454	375.102	-662.271
