
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.8740      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
       1   0.0000       0.0000       0.0000       0.0000     
       2 -0.66856E-004 0.25137E-003 0.29131E-004 0.26174E-003
       3  0.48403E-005 0.47783E-004 0.95371E-005 0.48965E-004
       4 -0.32322E-005 0.10675E-003 0.16927E-004 0.10813E-003
       5 -0.27996E-004 0.17484E-003 0.23163E-004 0.17857E-003
       6 -0.29965E-003 0.28232E-003 0.75368E-004 0.41854E-003
       7 -0.22061E-003 0.27848E-003 0.21625E-004 0.35594E-003
       8 -0.30683E-003 0.28190E-003 0.34941E-004 0.41813E-003
       9   0.0000       0.0000       0.0000       0.0000     
      10 -0.17920E-004 0.58213E-004 0.26066E-004 0.66252E-004
      11 -0.68926E-004 0.12692E-003 0.45428E-004 0.15141E-003
      12 -0.16491E-003 0.20183E-003 0.60917E-004 0.26766E-003
      13   0.0000       0.0000       0.0000       0.0000     
      14   0.0000       0.0000       0.0000       0.0000     
      15 -0.10505E-004 0.52551E-004 0.86189E-005 0.54280E-004
      16 -0.18967E-004 0.55340E-004 0.13488E-004 0.60035E-004
      17 -0.52152E-004 0.11813E-003 0.14185E-004 0.12991E-003
      18 -0.77038E-004 0.12234E-003 0.22508E-004 0.14632E-003
      19 -0.12417E-003 0.19382E-003 0.18121E-004 0.23089E-003
      20 -0.17545E-003 0.19813E-003 0.29036E-004 0.26623E-003
      21  0.33572E-003 0.60247E-003 0.41395E-003 0.80438E-003
      22 -0.20253E-003 0.30397E-003 0.14007E-003 0.39120E-003
      23 -0.38206E-004 0.36437E-003 0.22466E-003 0.42976E-003
      24  0.15585E-003 0.46780E-003 0.31964E-003 0.58762E-003
      25   0.0000       0.0000       0.0000       0.0000     
      26  0.47356E-004 0.99808E-004 0.12622E-003 0.16773E-003
      27  0.17065E-003 0.26868E-003 0.23276E-003 0.39431E-003
      28  0.27256E-003 0.44074E-003 0.32619E-003 0.61233E-003
      29   0.0000       0.0000       0.0000       0.0000     
      30   0.0000       0.0000       0.0000       0.0000     
      31   0.0000       0.0000       0.0000       0.0000     
      32 -0.76929E-005 0.63204E-004 0.45475E-004 0.78243E-004
      33  0.94028E-005 0.72044E-004 0.70631E-004 0.10133E-003
      34  0.29442E-004 0.84797E-004 0.98718E-004 0.13343E-003
      35 -0.29307E-004 0.14018E-003 0.81399E-004 0.16473E-003
      36  0.33577E-004 0.16856E-003 0.12828E-003 0.21446E-003
      37  0.10539E-003 0.21309E-003 0.18080E-003 0.29867E-003
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.8740      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
      38 -0.95045E-004 0.22082E-003 0.11157E-003 0.26503E-003
      39  0.18887E-004 0.26714E-003 0.17786E-003 0.32148E-003
      40  0.15098E-003 0.34321E-003 0.25228E-003 0.45193E-003
      41  0.32442E-003 0.81546E-003 0.61469E-003 0.10715E-002
      42  0.45435E-003 0.72789E-003 0.48862E-003 0.98742E-003
      43  0.51319E-003 0.83207E-003 0.54714E-003 0.11203E-002
      44  0.51146E-003 0.89295E-003 0.58687E-003 0.11846E-002
      45  0.46319E-003 0.90193E-003 0.60822E-003 0.11824E-002
      46  0.39338E-003 0.86807E-003 0.61540E-003 0.11345E-002
      47   0.0000       0.0000       0.0000       0.0000     
      48  0.49226E-004 0.11917E-003 0.17864E-003 0.22031E-003
      49  0.15149E-003 0.36756E-003 0.33300E-003 0.51860E-003
      50  0.24500E-003 0.60449E-003 0.47373E-003 0.80613E-003
      51   0.0000       0.0000       0.0000       0.0000     
      52   0.0000       0.0000       0.0000       0.0000     
      53   0.0000       0.0000       0.0000       0.0000     
      54   0.0000       0.0000       0.0000       0.0000     
      55  0.21581E-003 0.32393E-003 0.27666E-003 0.47754E-003
      56  0.17946E-003 0.37956E-003 0.33288E-003 0.53580E-003
      57  0.29586E-003 0.63797E-003 0.47581E-003 0.84908E-003
      58  0.35094E-003 0.66690E-003 0.47580E-003 0.89124E-003
      59  0.39457E-003 0.67070E-003 0.46704E-003 0.90755E-003
      60  0.39952E-003 0.62288E-003 0.43647E-003 0.85913E-003
      61  0.35368E-003 0.53497E-003 0.38585E-003 0.74844E-003
      62  0.54783E-004 0.12115E-003 0.17708E-003 0.22144E-003
      63  0.62021E-004 0.11703E-003 0.15069E-003 0.20062E-003
      64  0.78571E-004 0.14570E-003 0.18637E-003 0.24927E-003
      65  0.61120E-004 0.12420E-003 0.17386E-003 0.22224E-003
      66  0.20943E-003 0.39248E-003 0.33482E-003 0.55678E-003
      67  0.25389E-003 0.42642E-003 0.34557E-003 0.60474E-003
      68  0.26528E-003 0.41469E-003 0.33305E-003 0.59437E-003
      69  0.16240E-003 0.75276E-003 0.59313E-003 0.97202E-003
      70  0.27264E-003 0.77320E-003 0.61111E-003 0.10226E-002
      71  0.23094E-003 0.74773E-003 0.60635E-003 0.99000E-003
      72  0.19562E-003 0.74220E-003 0.60084E-003 0.97475E-003
      73   0.0000       0.0000       0.0000       0.0000     
      74  0.30904E-004 0.11223E-003 0.17007E-003 0.20610E-003
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.8740      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
      75  0.72229E-004 0.34467E-003 0.31750E-003 0.47416E-003
      76  0.11649E-003 0.56000E-003 0.45364E-003 0.73004E-003
      77   0.0000       0.0000       0.0000       0.0000     
      78   0.0000       0.0000       0.0000       0.0000     
      79   0.0000       0.0000       0.0000       0.0000     
      80  0.43847E-004 0.11351E-003 0.17676E-003 0.21460E-003
      81  0.39197E-004 0.11062E-003 0.17428E-003 0.21011E-003
      82  0.35176E-004 0.11040E-003 0.17232E-003 0.20766E-003
      83  0.12752E-003 0.35211E-003 0.32943E-003 0.49876E-003
      84  0.10737E-003 0.34251E-003 0.32527E-003 0.48440E-003
      85  0.89553E-004 0.34064E-003 0.32158E-003 0.47694E-003
      86  0.20485E-003 0.57554E-003 0.46939E-003 0.77041E-003
      87  0.17186E-003 0.55733E-003 0.46433E-003 0.74549E-003
      88  0.14348E-003 0.55300E-003 0.45949E-003 0.73316E-003
      89  0.12383E-003 0.39005E-003 0.13836E-003 0.43199E-003
      90  0.11780E-003 0.77663E-003 0.57859E-003 0.97560E-003
      91  0.71022E-004 0.79046E-003 0.55566E-003 0.96883E-003
      92  0.30253E-004 0.77271E-003 0.52006E-003 0.93191E-003
      93  0.79611E-005 0.71668E-003 0.47055E-003 0.85739E-003
      94  0.11443E-004 0.63339E-003 0.40919E-003 0.75415E-003
      95  0.36735E-004 0.54486E-003 0.34126E-003 0.64395E-003
      96  0.72487E-004 0.46921E-003 0.27068E-003 0.54652E-003
      97  0.10493E-003 0.41732E-003 0.20233E-003 0.47550E-003
      98   0.0000       0.0000       0.0000       0.0000     
      99  0.21481E-004 0.72482E-004 0.41357E-004 0.86171E-004
     100  0.37429E-004 0.17207E-003 0.76148E-004 0.19185E-003
     101  0.71775E-004 0.27856E-003 0.10734E-003 0.30703E-003
     102   0.0000       0.0000       0.0000       0.0000     
     103   0.0000       0.0000       0.0000       0.0000     
     104   0.0000       0.0000       0.0000       0.0000     
     105   0.0000       0.0000       0.0000       0.0000     
     106   0.0000       0.0000       0.0000       0.0000     
     107   0.0000       0.0000       0.0000       0.0000     
