NREL5MW-11
TSR: 7.55
Pitch: 0.0
V_inf: 10.0
Radius	Axial Force	Tangential Force	Moment
2.174	63.491	-21.673	0.0
4.207	302.738	-160.254	0.0
6.918	336.824	-277.386	0.0
9.967	2126.86	571.431	-532.276
13.695	5608.227	2113.258	-2000.775
17.76	7201.537	2347.772	-3180.677
21.825	8503.993	2316.898	-4379.687
25.89	10330.473	2363.797	-6068.275
29.954	12295.395	2415.535	-7435.072
34.019	14425.942	2455.316	-8126.703
38.084	16804.399	2506.817	-8650.079
42.149	18203.152	2477.517	-8301.55
46.214	19312.089	2424.883	-7696.695
50.279	20844.367	2384.288	-7589.307
54.007	18405.866	1925.138	-6104.353
57.056	14959.197	1440.101	-4506.925
59.762	12899.524	1174.948	-3171.962
61.795	4190.215	375.586	-662.634
